ComplexID	ComplexName	Organism	Synonyms	Cell line	subunits(UniProt IDs)	subunits(Entrez IDs)	Protein complex purification method	GO ID	GO description	FunCat ID	FunCat description	subunits(Gene name syn)	Complex comment	Disease comment	SWISSPROT organism	Subunits comment	subunits(Gene name)	PubMed ID	subunits(Protein name)
6946	BARD1\u2013BRCA1\u2013RAD51 complex	Human	BRCA1\u2013BARD1\u2013RAD51 complex	HeLa cells	P38398;Q06609;Q99728	672;5888;580	MI:0019-coimmunoprecipitation	GO:0006281;GO:0042148;GO:0035825	DNA repair;strand invasion;reciprocal DNA recombination	10.01.05.01	DNA repair	RNF53;RAD51A, RECA;None	Experiments establish the biological importance of the BRCA1\u2013BARD1\u2013RAD51 complex in DNA damage repair via homologous recombination and provide cellular evidence for a role of BRCA1\u2013BARD1 in the DNA strand invasion step of homologous recombination.	One mutation (K140N) in BARD1, found in two patients with colorectal adenocarcinoma, attenuated the affinity of BRCA1\u2013BARD1 for RAD51 and also compromised the ability of the tumour suppressor complex to enhance D-loop formation and synaptic complex assembly.	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	BRCA1;RAD51;BARD1	28976962	Breast cancer type 1 susceptibility protein;DNA repair protein RAD51 homolog 1;BRCA1-associated RING domain protein 1
6948	Isocitrate dehydrogenase [NADP], mitochondrial	Human	IDH2 homodimer	HEK-293T, MCF7 cells	P48735	3418	MI:0019-coimmunoprecipitation	GO:0005739;GO:0006102	mitochondrion;isocitrate metabolic process	70.16	mitochondrion	None	The results show that loss of SIRT3 increases acetylation of IDH2 at lysine 413 (IDH2-K413-Ac), thereby decreasing its enzymatic activity by reducing IDH2 dimer formation.	Metabolically, expression of IDH2 (K413Q) alters cancer cell metabolism and results in accumulation of ROS.	Homo sapiens (Human)	None	IDH2	28536275	Isocitrate dehydrogenase [NADP], mitochondrial
6949	Isocitrate dehydrogenase [NAD], mitochondrial	Human	Isocitrate dehydrogenase [NAD] (alpha2-beta-gamma), mitochondrial; IDH3A(2)-IDH3B-IDH3G heterotetramer	None	O43837;P50213;P51553	3420;3419;3421	MI:0004-affinity chromatography technologies;MI:0071-molecular sieving	GO:0006102;GO:0051287;GO:0005739;GO:0046872;GO:0006099	isocitrate metabolic process;NAD binding;mitochondrion;metal ion binding;tricarboxylic acid cycle	16.21.07;70.16;16.17;02.10	NAD/NADP binding;mitochondrion;metal binding;tricarboxylic-acid pathway (citrate cycle, Krebs cycle, TCA cycle)	None;None;None	The allosteric regulation of the alpha-2-beta-gamma heterotetramer is through the gamma subunit not the beta subunit.The gamma subunit plays the regulatory role to activate the holoenzyme, and the beta subunit the structural role to facilitate the assembly of the holoenzyme.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	IDH3B;IDH3A;IDH3G	28139779	Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial;Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial;Isocitrate dehydrogenase [NAD] subunit gamma, mitochondrial
6950	GPS2-LXR-RXR complex	Mouse	Gps2-Nr1h3-Nr1h4 complex	None	Q60641;Q921N8;Q9Z0Y9	20186;56310;22259	MI:0096-pull down	GO:0006357;GO:0010874	regulation of transcription from RNA polymerase II promoter;regulation of cholesterol efflux	None	None	Bar,Fxr,Rip14;mCG_22494;Lxra	In wild type mice, LXR activation induced recruitment of a GPS2/LXR//RXR ternary complex on the ABCG1 promoter while triggering dissociation of GPS2, but not LXR/RXR, from the ABCA1 promoter (PMID: 19481530 ).	None	Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse)	None	Nr1h4;Gps2;Nr1h3	19481530	Bile acid receptor;G protein pathway suppressor 2;Oxysterols receptor LXR-alpha
6951	NG2-galectin-3-alpha3beta1-integrin complex	Human	CSPG4-LGALS3-ITGA3-ITGB1 complex	Human dermal microvascular endothelial cells	P05556;P17931;P26006;Q6UVK1	3688;3958;3675;1464	MI:0096-pull down	GO:0045765	regulation of angiogenesis	None	None	FNRB, MDF2, MSK12;MAC2;MSK18;MCSP	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	ITGB1;LGALS3;ITGA3;CSPG4	15181153	Integrin beta-1;Galectin-3;Integrin alpha-3;Chondroitin sulfate proteoglycan 4
6952	Ret-Gfra1-Gdnf complex	Mouse	None	None	P35546;P48540;P97785	19713;14573;14585	MI:0114-x-ray crystallography	GO:0007399	nervous system development	47.03.01	nervous system	None;None;Gdnfra,Trnr1	None	None	Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse)	None	Ret;Gdnf;Gfra1	19478429	Proto-oncogene tyrosine-protein kinase receptor Ret;Glial cell line-derived neurotrophic factor;GDNF family receptor alpha-1
6953	ARTN-GFRA3-RET comples	Human	None	None	O60609;P07949;Q5T4W7	2676;5979;9048	MI:0001-interaction detection method	GO:0007399	nervous system development	47.03.01	nervous system	None;CDHF12 CDHR16 PTC RET51;EVN	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	GFRA3;RET;ARTN	9883723	GDNF family receptor alpha-3;Proto-oncogene tyrosine-protein kinase receptor Ret;Artemin
6954	Idas-Geminin-Cdt1 complex	Human	None	None	D6RGH6;O75496;Q9H211	345643;51053;81620	MI:0107-surface plasmon resonance	GO:0006275	regulation of DNA replication	None	None	IDAS,MCI,MCIN;None;None	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	MCIDAS;GMNN;CDT1	24064211	Multicilin;Geminin;DNA replication factor Cdt1
6956	REP-RGGT-Rab complex	Human	None	None	P20336;P24386;Q92696	5864;1121;5875	MI:0029-cosedimentation through density gradients;MI:0096-pull down	GO:2000539	regulation of protein geranylgeranylation	None	None	None;REP1 TCD;None	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	RAB3A;CHM;RABGGTA	18532927	Ras-related protein Rab-3A;Rab proteins geranylgeranyltransferase component A 1;Geranylgeranyl transferase type-2 subunit alpha
6957	C2ORF3-Prp43-TFIP11 complex	Human	None	None	O43143;P16383;Q9UBB9	1665;6936;None	MI:0019-coimmunoprecipitation	GO:0000381	regulation of alternative mRNA splicing, via spliceosome	None	None	DBP1 DDX15;C2orf3,GCF,TCF9;STIP	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	DHX15;GCFC2;TFIP11	24304693	Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15;GC-rich sequence DNA-binding factor 2;Tuftelin-interacting protein 11
6958	BOLA2-GLRX3 complex	Human	None	BL21(DE3) cells	O76003;Q9H3K6	10539;107984053	MI:0029-cosedimentation through density gradients	GO:0055072	iron ion homeostasis	None	None	PICOT,TXNL2;BOLA2A,My016	Results suggest that the BOLA2-GLRX3 complex is conserved in higher eukaryotes and may play a role in signaling cellular iron status in humans.	None	Homo sapiens (Human);Homo sapiens (Human)	None	GLRX3;BOLA2	22309771	Glutaredoxin-3;BolA-like protein 2
6959	GATB-GATC-QRSL1 complex	Human	GATBA-GATB-GATC complex; GatCAB	HeLa cells	O43716;O75879;Q9H0R6	283459;5188;55278	MI:0257-antisense rna;MI:0071-molecular sieving	GO:0006424;GO:0005739;GO:0070681	glutamyl-tRNA aminoacylation;mitochondrion;glutaminyl-tRNAGln biosynthesis via transamidation	70.16	mitochondrion	None;PET112,PET112L,HSPC199;None	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	GATC;GATB;QRSL1	19805282	Glutamyl-tRNA(Gln) amidotransferase subunit C, mitochondrial;Glutamyl-tRNA(Gln) amidotransferase subunit B, mitochondrial;Glutamyl-tRNA(Gln) amidotransferase subunit A, mitochondrial
6960	BICD2-dynein-dynactin complex	Human	None	None	O14576;Q14203;Q8TD16	1780;1639;23299	MI:0096-pull down	GO:0060236	regulation of mitotic spindle organization	None	None	DNCI1, DNCIC1;None;KIAA0699, SMALED2, bA526D8.1	None	OMIM:615290 Spinal muscular atrophy, lower extremity-predominant, 2; SMALED2	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	Disease-related point mutations in BICD2 increase binding to dynein/dynactin and motility (PMID: 28883039).	DYNC1I1;DCTN1;BICD2	28883039	Cytoplasmic dynein 1 intermediate chain 1;Dynactin subunit 1;Protein bicaudal D homolog 2
6961	CTNNB1-GID8 complex	Human	None	HEK-293 cells	P35222;Q9NWU2	1499;54994	MI:0019-coimmunoprecipitation	GO:0005634;GO:0060070	nucleus;canonical Wnt signaling pathway	70.10	nucleus	CTNNB;C20orf11	GID8 (TWA1) is a regulator of the Wnt pathway promoting colorectal tumorigenesis by facilitating beta-catenin nuclear retention.	GID8 (TWA1) is significantly upregulated in human CRC tissues and correlates with a poor prognosis for CRC patients.	Homo sapiens (Human);Homo sapiens (Human)	None	CTNNB1;GID8	28829046	Catenin beta-1;Glucose-induced degradation protein 8 homolog
6962	Glutamate receptor complex (Grin1, Grin2a), ionotropic, NMDA-type	Rat	NMDA receptor complex NR1-NR2A, GluN2A-GNluN1 heterotetrameric receptor	brain	P35439;Q00959	24408;24409	MI:0071-molecular sieving;MI:0114-x-ray crystallography	GO:0005234;GO:0004972;GO:0048167;GO:0022849	extracellular-glutamate-gated ion channel activity;NMDA glutamate receptor activity;regulation of synaptic plasticity;glutamate-gated calcium ion channel activity	None	None	Nmdar1;None	The ionotropic glutamate receptor is activated by the coagonists glycine and glutamate.	A de novo mutation in the gene GRIN2A has been identified in a patient with profound global developmental delay and refractory epilepsy (PMID:28126851).	Rattus norvegicus (Rat);Rattus norvegicus (Rat)	None	Grin1;Grin2a	19946266	Glutamate receptor ionotropic, NMDA 1;Glutamate receptor ionotropic, NMDA 2A
6963	AXIN1-GID8-GSK3B complex	Human	None	HEK-293 cells	O15169;P49841;Q9NWU2	8312;2932;54994	MI:0019-coimmunoprecipitation;MI:0029-cosedimentation through density gradients	GO:0060070;GO:0005737	canonical Wnt signaling pathway;cytoplasm	70.03	cytoplasm	AXIN;None;C20orf11	GID8 (TWA1) is a regulator of the Wnt pathway promoting colorectal tumorigenesis by facilitating beta-catenin nuclear retention.Data indicate that in the absence of Wnt signal, GID8 is targeted by the Axin complex for ubiquitination and degradation.	GID8 (TWA1) is significantly upregulated in human CRC tissues and correlates with a poor prognosis for CRC patients.	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	AXIN1;GSK3B;GID8	28829046	Axin-1;Glycogen synthase kinase-3 beta;Glucose-induced degradation protein 8 homolog
6964	Fkbp5-Hsp90aa1-Hspa1a-Nr3c1 complex	Mouse	None	3T3-L1 cells	P06537;P07901;Q61696;Q64378	None;15519;193740;14229	MI:0019-coimmunoprecipitation;MI:0040-electron microscopy	GO:0005739;GO:0043069	mitochondrion;negative regulation of programmed cell death	70.16	mitochondrion	Grl,Grl1;Hsp86 Hsp86-1 Hspca;Hsp70-3 Hsp70A1;Fkbp51	Experimental results suggest that the unexpected mitochondrial localization of FKB51 may be related to an antiapoptotic effect.	None	Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse)	None	Nr3c1;Hsp90aa1;Hspa1a;Fkbp5	21730050	Glucocorticoid receptor;Heat shock protein HSP 90-alpha;Heat shock 70 kDa protein 1A;Peptidyl-prolyl cis-trans isomerase FKBP5
6965	Glutamate receptor complex (GRIN1, GRIN2A, GRIN2B), ionotropic, NMDA-type	Mouse	NMDA receptor complex NR1-NR2A-NR2B, NR1-NR2A-NR2B heterotrimeric glutamate receptor complex	forebrain	P35436;P35438;Q01097	14811;14810;14812	MI:0004-affinity chromatography technologies;MI:0006-anti bait coimmunoprecipitation	GO:0005234;GO:0004972;GO:0048167;GO:0022849	extracellular-glutamate-gated ion channel activity;NMDA glutamate receptor activity;regulation of synaptic plasticity;glutamate-gated calcium ion channel activity	None	None	None;Glurz1;NR2B	None	None	Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse)	None	Grin2a;Grin1;Grin2b	9349560	Glutamate receptor ionotropic, NMDA 2A;Glutamate receptor ionotropic, NMDA 1;Glutamate receptor ionotropic, NMDA 2B
6966	Glutamate receptor (Grin1, Grin2A) - Grin3B complex, ionotropic, NMDA-type	Mouse	NMDA receptor complex NR1-NR2A-NR3B, Glutamate receptor ionotropic (NR1-NR2A) - NR3B complex	hippocampal neurons	P35436;P35438;Q91ZU9	14811;14810;170483	MI:0006-anti bait coimmunoprecipitation	GO:0006874;GO:0005234;GO:0004972;GO:0048167	cellular calcium ion homeostasis;extracellular-glutamate-gated ion channel activity;NMDA glutamate receptor activity;regulation of synaptic plasticity	None	None	None;Glurz1;None	NR3B modulates the function of NMDA receptors in somatic motor neurons during adulthood by controlling membrane trafficking and by reducing Ca2+ permeability (PMID:14602821).	None	Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse)	None	Grin2a;Grin1;Grin3b	14602821	Glutamate receptor ionotropic, NMDA 2A;Glutamate receptor ionotropic, NMDA 1;Glutamate receptor ionotropic, NMDA 3B
6967	AMPA receptor complex (anti-GluA1-a)	Rat	None	rat brain	D0Q0Y7;D3ZE85;D3ZFB6;D3ZK93;D4A0X1;F1LN46;M0RB53;O08957;P19490;P19491;P19492;P19493;P31016;P62957;P63057;Q568Y7;Q5BJU5;Q62609;Q6MG82;Q71RJ2;Q8VHW5;Q8VHW9;Q8VHX0;Q9CZN4	690252;None;361651;None;501160;308579;501231;83834;50592;29627;29628;29629;29495;140728;252920;313783;361705;93667;406167;None;140729;140725;140724;72555	MI:0019-coimmunoprecipitation;MI:0276-blue native page	GO:0016020;GO:0099536;GO:0050808;GO:0048167;GO:0004971	membrane;synaptic signaling;synapse organization;regulation of synaptic plasticity;AMPA glutamate receptor activity	None	None	None;None;None;None;RGD1565501_predicted,rCG_25015;None;LOC501231,rCG_24476;None;Glur1;Glur2;Glur3;Glur4;Dlgh4, Psd95, SAP90, SAP-90, PSD-95;None;Noe3;None;None;D2Sut1e,Noe1,Noel,Noel1;Ng5;None;None;None;None;None	Native AMPA-type glutamate receptors from brain were shown to appear with heteromultimeric architecture: a defined core with a variable periphery resulting in an apparent molecular mass between 0.6 and 1 MDa.These protein complexes are responsible for a variety of processes in the mammalian brain including fast excitatory neurotransmission, postsynaptic plasticity, or synapse development.	None	Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat);Mus musculus (Mouse)	In the study, several AMPA receptors were detected, e.g. dependent on the purification conditions. We only included the six protein complexes of this set, which were purified under stringent conditions (solubilization with CL-91) and where more than 50% of the subunits were target knockout-controlled. Since Shisa9 from rat was not available in the UniProt database at the time of annotation, the orthologous protein from homo sapiens was used.	Cnih3;Frrs1l;Prrt2;Gsg1l;Vwc2l;Cpt1c;Vwc2;Nrn1;Gria1;Gria2;Gria3;Gria4;Dlg4;Cacng7;Olfm3;Olfm2;Cnih2;Olfm1;Prrt1;Cacng2;Cacng8;Cacng4;Cacng3;Shisa9	22632720	Protein cornichon homolog 3;DOMON domain-containing protein FRRS1L;Proline-rich transmembrane protein 2;Germ cell-specific gene 1-like protein;Similar to PSST739 protein (Predicted);Carnitine O-palmitoyltransferase 1, brain isoform;Similar to crossveinless 2 CG15671-PA, isoform CRA_a;Neuritin;Glutamate receptor 1;Glutamate receptor 2;Glutamate receptor 3;Glutamate receptor 4;Disks large homolog 4;Voltage-dependent calcium channel gamma-7 subunit;Noelin-3;Noelin-2;Protein cornichon homolog 2;Noelin;Proline-rich transmembrane protein 1;Voltage-dependent calcium channel gamma-2 subunit;Voltage-dependent calcium channel gamma-8 subunit;Voltage-dependent calcium channel gamma-4 subunit;Voltage-dependent calcium channel gamma-3 subunit;Protein shisa-9
6969	Serine-palmitoyltransferase (SPTLC1, SPTLC2, SPTLC3) complex	Human	LCB1-LCB2-SPTLC2L complex; SPT complex	HEK-293 cells; human placenta extract	O15269;O15270;Q9NUV7	10558;9517;55304	MI:0096-pull down;MI:0091-chromatography technologies;MI:0276-blue native page	GO:0005783;GO:0016409;GO:0002178;GO:0030148	endoplasmic reticulum;palmitoyltransferase activity;palmitoyltransferase complex;sphingolipid biosynthetic process	70.07	endoplasmic reticulum	LCB1;KIAA0526, LCB2;C20orf38, SPTLC2L	SPT (serine palmitoyltransferase) catalyses the rate-limiting step for the de novo synthesis of sphingolipids. It is concluded that the functional SPT is not a dimer, but a higher organized complex, composed of three distinct subunits (SPTLC1, SPTLC2 and SPTLC3) with a molecular mass of 480 kDa. The stoichiometry of SPTLC2 and SPTLC3 seems not to be fixed and is probably changed dynamically in dependence of the tissue specific SPTLC2 and SPTLC3 expression levels. A model of an octameric SPT structure is proposed.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	SPTLC1;SPTLC2;SPTLC3	17331073	Serine palmitoyltransferase 1;Serine palmitoyltransferase 2;Serine palmitoyltransferase 3
6970	Serine-palmitoyltransferase (SPTLC1, SPTLC3, ssSPTb) complex	Human	hLCB1-hLCB2b-ssSPTb isozyme; SPT complex	yeast microsomes expressing human SPT subunits	O15269;Q8NFR3;Q9NUV7	10558;165679;55304	MI:0018-two hybrid	GO:0005783;GO:0016409;GO:0002178;GO:0030148	endoplasmic reticulum;palmitoyltransferase activity;palmitoyltransferase complex;sphingolipid biosynthetic process	70.07	endoplasmic reticulum	LCB1;ADMP, C3orf57, SSSPTB;C20orf38, SPTLC2L	Serine palmitoyltransferase (SPT) catalyzes the first committed step in sphingolipid biosynthesis. The two small subunit isoforms of SPT, ssSPTa and ssSPTb, share a conserved hydrophobic central domain predicted to reside in the membrane, and each interacts with both hLCB1 and hLCB2. The resulting four SPT isozymes have distinct Acyl-CoA preferences and synthesize different LCBs ( long-chain bases). The most active and selective isozyme was hLCB1-hLCB2a-ssSPTa showing a strong preference for C16-CoA . The hLCB1-hLCB2b-ssSPTa isozyme used C14-CoA as well. The hLCB1-hLCB2a-ssSPTb enzyme showed a clear preference for C18-CoA, whereas the hLCB1-hLCB2b-ssSPTb multimer displayed an ability to use a broader range of acyl-CoAs, without apparent preference. Isozymes containing the ssSPTb subunit preferred longer acyl-CoAs.	HSAN1 (Hereditary sensory autonomic neuropathy 1) is the result of dominant mutations in hLCB1.It has been presumed that these mutations lead to a 50%  decrease in SPT activity in all tissues.	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	SPTLC1;SPTSSB;SPTLC3	19416851	Serine palmitoyltransferase 1;Serine palmitoyltransferase small subunit B;Serine palmitoyltransferase 3
6971	AMPA receptor complex (anti-GluA1-b)	Rat	None	rat brain	B4F7C5;D0Q0Y7;D3ZE85;D3ZFB6;D3ZK93;D4A0X1;F1LN46;M0RB53;O08957;P19490;P19491;P19492;P19493;P62957;P63057;Q568Y7;Q5BJU5;Q62609;Q6MG82;Q71RJ2;Q8VHW5;Q8VHW9;Q8VHX0;Q9CZN4	500219;690252;None;361651;None;501160;308579;501231;83834;50592;29627;29628;29629;140728;252920;313783;361705;93667;406167;None;140729;140725;140724;72555	MI:0019-coimmunoprecipitation;MI:0276-blue native page	GO:0004971;GO:0016020;GO:0048167;GO:0050808;GO:0099536	AMPA glutamate receptor activity;membrane;regulation of synaptic plasticity;synapse organization;synaptic signaling	None	None	None;None;None;None;None;RGD1565501_predicted,rCG_25015;None;LOC501231,rCG_24476;None;Glur1;Glur2;Glur3;Glur4;None;Noe3;None;None;D2Sut1e,Noe1,Noel,Noel1;Ng5;None;None;None;None;None	Native AMPA-type glutamate receptors from brain were shown to appear with heteromultimeric architecture: a defined core with a variable periphery resulting in an apparent molecular mass between 0.6 and 1 MDa.These protein complexes are responsible for a variety of processes in the mammalian brain including fast excitatory neurotransmission, postsynaptic plasticity, or synapse development.	None	Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat);Mus musculus (Mouse)	In the study, several AMPA receptors were detected, e.g. dependent on the purification conditions. We only included the six protein complexes of this set, which were purified under stringent conditions (solubilization with CL-91) and where more than 50% of the subunits were target knockout-controlled. Since Shisa9 from rat was not available in the UniProt database at the time of annotation, the orthologous protein from homo sapiens was used.	Lrrtm4;Cnih3;Frrs1l;Prrt2;Gsg1l;Vwc2l;Cpt1c;Vwc2;Nrn1;Gria1;Gria2;Gria3;Gria4;Cacng7;Olfm3;Olfm2;Cnih2;Olfm1;Prrt1;Cacng2;Cacng8;Cacng4;Cacng3;Shisa9	22632720	Leucine-rich repeat transmembrane neuronal protein 4;Protein cornichon homolog 3;DOMON domain-containing protein FRRS1L;Proline-rich transmembrane protein 2;Germ cell-specific gene 1-like protein;Similar to PSST739 protein (Predicted);Carnitine O-palmitoyltransferase 1, brain isoform;Similar to crossveinless 2 CG15671-PA, isoform CRA_a;Neuritin;Glutamate receptor 1;Glutamate receptor 2;Glutamate receptor 3;Glutamate receptor 4;Voltage-dependent calcium channel gamma-7 subunit;Noelin-3;Noelin-2;Protein cornichon homolog 2;Noelin;Proline-rich transmembrane protein 1;Voltage-dependent calcium channel gamma-2 subunit;Voltage-dependent calcium channel gamma-8 subunit;Voltage-dependent calcium channel gamma-4 subunit;Voltage-dependent calcium channel gamma-3 subunit;Protein shisa-9
